area_code,industry_code,occupation_code,value
0010580,000000,291011,80.0
0010580,000000,291021,290.0
0010580,000000,291031,240.0
0010580,000000,291041,120.0
0010580,000000,291051,1250.0
0010580,000000,291071,750.0
0010580,000000,291081,40.0
0010580,000000,291122,600.0
0010580,000000,291123,790.0
0010580,000000,291124,50.0
0010580,000000,291125,40.0
0010580,000000,291126,360.0
0010580,000000,291127,600.0
0010580,000000,291131,230.0
0010580,000000,291141,10010.0
0010580,000000,291171,580.0
0010580,000000,291215,160.0
0010580,000000,291216,100.0
0010580,000000,291218,0.0
0010580,000000,291223,70.0
0010580,000000,291228,1680.0
0010580,000000,291248,140.0
0010580,000000,291292,770.0
0010580,000000,291298,50.0
0010580,000000,292031,250.0
0010580,000000,292032,290.0
0010580,000000,292033,40.0
0010580,000000,292034,710.0
0010580,000000,292035,150.0
0010580,000000,292052,1000.0
0010580,000000,292055,280.0
0010580,000000,292056,330.0
0010580,000000,292057,220.0
0010580,000000,292061,2730.0
0010580,000000,292081,190.0
0010580,000000,292091,50.0
0010580,000000,292098,810.0
0010580,000000,299091,60.0
0010580,000000,299098,60.0
0010580,000000,311131,4610.0
0010580,000000,311132,140.0
0010580,000000,311133,140.0
0010580,000000,312011,150.0
0010580,000000,312021,220.0
0010580,000000,312022,50.0
0010580,000000,319011,340.0
0010580,000000,319091,720.0
0010580,000000,319092,1100.0
0010580,000000,319093,220.0
0010580,000000,319094,30.0
0010580,000000,319095,90.0
0010580,000000,319096,350.0
0010580,000000,319097,230.0
0010580,000000,319099,350.0
0010580,000000,413011,310.0
0010580,000000,413021,1750.0
0010580,000000,413031,1170.0
0010580,000000,413041,120.0
0010580,000000,413091,2590.0
0010580,000000,414011,670.0
0010580,000000,414012,3230.0
0010580,000000,419022,120.0
0010580,000000,419031,180.0
0010580,000000,419041,0.0
0010580,000000,431011,5280.0
0010580,000000,432011,150.0
0010580,000000,433011,170.0
0010580,000000,433021,1690.0
0010580,000000,433031,5180.0
0010580,000000,433051,490.0
0010580,000000,433061,230.0
0010580,000000,433071,960.0
0010580,000000,433099,60.0
0010580,000000,434011,90.0
0010580,000000,434031,750.0
0010580,000000,434041,100.0
0010580,000000,434051,8910.0
0010580,000000,434061,550.0
0010580,000000,434071,410.0
0010580,000000,434081,720.0
0010580,000000,434111,570.0
0010580,000000,434121,490.0
0010580,000000,434131,290.0
0010580,000000,434141,0.0
0010580,000000,434151,180.0
0010580,000000,434161,630.0
0010580,000000,434171,5130.0
0010580,000000,434181,230.0
0010580,000000,434199,350.0
0010580,000000,436011,3690.0
0010580,000000,436012,720.0
0010580,000000,436013,360.0
0010580,000000,436014,8960.0
0010580,000000,439021,530.0
0010580,000000,439022,1290.0
0010580,000000,439031,0.0
0010580,000000,439041,840.0
0010580,000000,439051,440.0
0010580,000000,439061,9630.0
0010580,000000,439071,290.0
0010580,000000,439111,30.0
0010580,000000,439199,360.0
0010740,000000,111021,7060.0
0010740,000000,111031,90.0
0010740,000000,112021,220.0
0010740,000000,112022,730.0
0010740,000000,113021,550.0
0010740,000000,113031,1160.0
0010740,000000,113051,180.0
0010740,000000,113061,130.0
0010740,000000,113071,230.0
0010740,000000,113121,220.0
0010740,000000,113131,50.0
0010740,000000,119021,850.0
0010740,000000,119031,170.0
0010740,000000,119032,670.0
0010740,000000,119033,210.0
0010740,000000,119039,70.0
0010740,000000,119041,1110.0
0010740,000000,119051,630.0
0010740,000000,119071,30.0
0010740,000000,119081,110.0
0010740,000000,119111,880.0
0010740,000000,119121,180.0
0010740,000000,119141,600.0
0010740,000000,119151,300.0
0010740,000000,119198,1240.0
0010740,000000,131031,770.0
0010740,000000,131041,710.0
0010740,000000,131051,660.0
0010740,000000,131071,1770.0
0010740,000000,131075,170.0
0010740,000000,131081,390.0
0010740,000000,131111,1920.0
0010740,000000,131121,280.0
0010740,000000,131131,190.0
0010740,000000,131141,120.0
0010740,000000,131151,1300.0
0010740,000000,131161,1090.0
0010740,000000,131198,4180.0
0010740,000000,132011,3420.0
0010740,000000,132031,240.0
0010740,000000,132041,80.0
0010740,000000,132052,150.0
0010740,000000,132053,150.0
0010740,000000,132061,70.0
0010740,000000,132071,230.0
0010740,000000,132072,770.0
0010740,000000,132082,170.0
0010740,000000,132098,980.0
0010740,000000,151211,980.0
0010740,000000,151212,520.0
0010740,000000,151221,320.0
0010740,000000,151231,650.0
0010740,000000,151232,1540.0
0010740,000000,151241,280.0
0010740,000000,151244,770.0
0010740,000000,151245,280.0
0010740,000000,151251,440.0
0010740,000000,151256,2050.0
0010740,000000,151257,190.0
0010740,000000,151299,790.0
